Start Date (UTC),End Date (UTC),Start Time (UTC),End Time (UTC),Midpoint (MJD),On-source Time (min),Telescope,Frequency (GHz),Integrated flux (mJy),Error (mJy),PI Name,Project ID
2023-08-25,2023-08-25,23:23:29,23:48:05,60181.9832,20,VLA,0.338,16,8,Miller-Jones,VLITE/23A-260
2023-08-25,2023-08-25,23:23:29,23:48:05,60181.9832,20,VLA,5.2,17.64,0.03,Miller-Jones,23A-260
2023-08-25,2023-08-25,23:23:29,23:48:05,60181.9832,20,VLA,7.5,18.88,0.04,Miller-Jones,23A-260
2023-08-27,2023-08-27,5:28:50,8:58:40,60183.3012,210,ATCA,5.5,53.2,0.7,Russell/Carotenuto,C2601/C3057/C3362/CX550
2023-08-27,2023-08-27,5:28:50,8:58:40,60183.3012,210,ATCA,9,58.5,0.3,Russell/Carotenuto,C2601/C3057/C3362/CX550
2023-08-27,2023-08-27,15:28:00,15:42:55,60183.6496,15,MeerKAT,1.28,46.77,0.03,Fender,X-KAT/ThunderKAT
2023-08-29,2023-08-29,16:00:10,21:58:00,60185.791,265,e-MERLIN,5.07,74.4,0.1,Williams-Baldwin/Carotenuto,RR16003
2023-08-29,2023-08-29,23:39:28,23:59:22,60185.9927,20,VLA,5.2,118.73,0.03,Miller-Jones,23A-260
2023-08-29,2023-08-29,23:39:28,23:59:22,60185.9927,20,VLA,7.5,116.93,0.04,Miller-Jones,23A-260
2023-08-30,2023-08-30,0:15:54,3:11:39,60186.0721,176,ATA,8,103,5,Bright,---
2023-08-30,2023-08-30,0:15:54,3:11:39,60186.0721,176,ATA,5,107,5,Bright,---
2023-08-30,2023-08-30,0:38:01,3:11:39,60186.0798,154,ATA,8,105,5,Bright,---
2023-08-30,2023-08-30,0:38:01,3:11:39,60186.0798,154,ATA,5,108,5,Bright,---
2023-08-30,2023-08-31,23:22:01,0:24:55,60186.9955,63,ATA,8,113,6,Bright,---
2023-08-30,2023-08-31,23:22:01,0:24:55,60186.9955,63,ATA,3,104,5,Bright,---
2023-09-03,2023-09-03,2:00:00,5:59:21,60190.1664,210,VLA,4.75,105.21,0.07,Tetarenko,22B-069
2023-09-03,2023-09-03,2:00:00,5:59:21,60190.1664,210,VLA,0.338,86,13,Tetarenko,VLITE/22B-069
2023-09-03,2023-09-03,2:00:00,5:59:21,60190.1664,210,VLA,8.5,108.39,0.08,Tetarenko,22B-069
2023-09-03,2023-09-03,2:00:00,5:59:21,60190.1664,210,VLA,13.5,112.9,0.2,Tetarenko,22B-069
2023-09-03,2023-09-03,2:00:00,5:59:21,60190.1664,210,VLA,12.5,111,0.2,Tetarenko,22B-069
2023-09-03,2023-09-03,2:00:00,5:59:21,60190.1664,210,VLA,11,107.92,0.09,Tetarenko,22B-069
2023-09-03,2023-09-03,2:00:00,5:59:21,60190.1664,210,VLA,7.5,105.59,0.06,Tetarenko,22B-069
2023-09-03,2023-09-03,4:09:53,7:39:38,60190.2464,148,SMA,225,162.64,0.4,Vrtilek/Gurwell,2023A-S051
2023-09-04,2023-09-04,5:55:33,7:27:04,60191.2787,69,SMA,225,156.61,0.5,Vrtilek/Gurwell,2023A-S051
2023-09-04,2023-09-04,15:48:19,16:03:15,60191.6637,15,MeerKAT,1.28,91.58,0.04,Fender,X-KAT/ThunderKAT
2023-09-04,2023-09-05,23:51:10,1:34:48,60192.0298,104,ATA,3,81,4,Bright,---
2023-09-04,2023-09-05,23:51:10,1:34:48,60192.0298,104,ATA,8,82,4,Bright,---
2023-09-05,2023-09-05,3:38:50,8:02:30,60192.2435,188,SMA,225,137.53,0.5,Vrtilek/Gurwell,2023A-S025
2023-09-05,2023-09-06,23:24:07,1:49:09,60193.0254,145,ATA,3,88,4,Bright,---
2023-09-05,2023-09-06,23:24:07,1:49:09,60193.0254,145,ATA,8,90,5,Bright,---
2023-09-06,2023-09-06,3:41:39,7:52:43,60193.2411,180,SMA,225,156.12,1.4,Vrtilek/Gurwell,2023A-S025
2023-09-06,2023-09-06,15:06:37,15:21:33,60193.6348,15,MeerKAT,1.28,95.57,0.05,Fender,X-KAT/ThunderKAT
2023-09-08,2023-09-08,14:57:57,15:12:53,60195.6288,15,MeerKAT,1.28,86.64,0.04,Fender,X-KAT/ThunderKAT
2023-09-08,2023-09-09,23:37:05,1:29:25,60196.0231,112,ATA,8,81,4,Bright,---
2023-09-08,2023-09-09,23:37:05,1:29:25,60196.0231,112,ATA,3,81,4,Bright,---
2023-09-09,2023-09-09,1:30:00,5:29:21,60196.1456,210,VLA,4.75,92.56,0.04,Tetarenko,22B-069
2023-09-09,2023-09-09,1:30:00,5:29:21,60196.1456,210,VLA,0.338,93,15,Tetarenko,VLITE/22B-069
2023-09-09,2023-09-09,1:30:00,5:29:21,60196.1456,210,VLA,8.5,93.47,0.05,Tetarenko,22B-069
2023-09-09,2023-09-09,1:30:00,5:29:21,60196.1456,210,VLA,7.5,92.53,0.05,Tetarenko,22B-069
2023-09-09,2023-09-09,1:30:00,5:29:21,60196.1456,210,VLA,12.5,98.56,0.07,Tetarenko,22B-069
2023-09-09,2023-09-09,1:30:00,5:29:21,60196.1456,210,VLA,11,93.87,0.06,Tetarenko,22B-069
2023-09-09,2023-09-09,1:30:00,5:29:21,60196.1456,210,VLA,13.5,98.5,0.2,Tetarenko,22B-069
2023-09-09,2023-09-09,4:21:19,7:44:21,60196.252,146,SMA,225,149.18,0.4,Vrtilek/Gurwell,2023A-S025
2023-09-09,2023-09-09,4:24:20,9:48:40,60196.2962,324,ATCA,5.5,99.5,0.5,Russell/Carotenuto,C2601/C3057/C3362/CX550
2023-09-09,2023-09-09,4:24:20,9:48:40,60196.2962,324,ATCA,9,98.6,0.5,Russell/Carotenuto,C2601/C3057/C3362/CX550
2023-09-09,2023-09-10,1:13:39,2:57:05,60196.5925,1543,ATA,1.5,83,4,Bright,---
2023-09-09,2023-09-10,1:13:39,2:57:05,60196.5925,1543,ATA,3,82,4,Bright,---
2023-09-09,2023-09-10,23:48:39,0:59:46,60197.0168,71,ATA,5,75,4,Bright,---
2023-09-09,2023-09-10,23:48:39,0:59:46,60197.0168,71,ATA,8,74,4,Bright,---
2023-09-10,2023-09-10,14:45:00,22:03:00,60197.7667,330,e-MERLIN,5.07,54.7,0.1,Williams-Baldwin/Carotenuto,RR16003
2023-09-11,2023-09-11,4:12:06,7:29:15,60198.2435,140,SMA,225,173.44,0.5,Vrtilek/Gurwell,2023A-S025
2023-09-11,2023-09-11,16:00:10,19:58:00,60198.7494,180,e-MERLIN,5.07,91.5,0.1,Williams-Baldwin/Carotenuto,RR16003
2023-09-12,2023-09-13,22:52:55,0:04:06,60199.9781,71,ATA,5,106,5,Bright,---
2023-09-12,2023-09-13,22:52:55,0:04:06,60199.9781,71,ATA,8,109,5,Bright,---
2023-09-13,2023-09-13,0:39:58,1:51:06,60200.0524,71,ATA,1.5,85,4,Bright,---
2023-09-13,2023-09-13,0:39:58,1:51:06,60200.0524,71,ATA,3,97,5,Bright,---
2023-09-14,2023-09-14,0:50:44,1:31:32,60201.0494,13.3,ALMA,145,163.5,0.04,Tetarenko,2022.1.01182.T
2023-09-14,2023-09-14,1:31:40,2:14:49,60201.0786,15.42,ALMA,97.5,147.3,0.04,Tetarenko,2022.1.01182.T
2023-09-14,2023-09-14,1:00:00,4:59:21,60201.1248,210,VLA,0.338,89,14,Tetarenko,VLITE/22B-069
2023-09-14,2023-09-14,1:00:00,4:59:21,60201.1248,210,VLA,12.5,105.2,0.3,Tetarenko,22B-069
2023-09-14,2023-09-14,1:00:00,4:59:21,60201.1248,210,VLA,13.5,106.6,0.3,Tetarenko,22B-069
2023-09-14,2023-09-14,1:00:00,4:59:21,60201.1248,210,VLA,4.75,93.31,0.03,Tetarenko,22B-069
2023-09-14,2023-09-14,1:00:00,4:59:21,60201.1248,210,VLA,7.5,95.53,0.06,Tetarenko,22B-069
2023-09-14,2023-09-14,1:00:00,4:59:21,60201.1248,210,VLA,8.5,97.93,0.07,Tetarenko,22B-069
2023-09-14,2023-09-14,1:00:00,4:59:21,60201.1248,210,VLA,11,98.77,0.07,Tetarenko,22B-069
2023-09-14,2023-09-14,15:48:00,19:46:00,60201.741,180,e-MERLIN,5.07,88.2,0.3,Williams-Baldwin/Carotenuto,RR16003
2023-09-15,2023-09-15,5:06:25,7:00:56,60202.2526,79,SMA,225,174.05,1,Vrtilek/Gurwell,2023A-S024
2023-09-15,2023-09-15,15:44:00,19:42:00,60202.7382,180,e-MERLIN,5.07,69.9,0.1,Williams-Baldwin/Carotenuto,RR16003
2023-09-15,2023-09-15,23:34:54,23:59:30,60202.9911,20,VLA,0.338,80,17,Miller-Jones,VLITE/23A-260
2023-09-15,2023-09-15,23:34:54,23:59:30,60202.9911,20,VLA,5.2,97,8,Miller-Jones,23A-260
2023-09-15,2023-09-15,23:34:54,23:59:30,60202.9911,20,VLA,7.5,97,7,Miller-Jones,23A-260
2023-09-16,2023-09-16,15:23:09,15:38:05,60203.6463,15,MeerKAT,1.28,85.15,0.04,Fender,X-KAT/ThunderKAT
