# Flux extrapolation to 1.28 GHz   S(1.28) = S(f) * (1.28/f)^alpha
# NaN scaled flux means <2 frequencies on same day (non-MeerKAT) or MeerKAT non-ref freq
# alpha and alpha_err from same-day scipy.curve_fit in log-space
#
# Date (ISOT)               Telescope    S_obs (mJy)  S_1p28 (mJy)  Freq (GHz)      alpha   alpha_err
2023-09-03T03:59:36.960  VLA             105.2100       96.9475    4.7500    0.06237      0.0362
2023-09-03T03:59:36.960  VLA             108.3900       96.3176    8.5000    0.06237      0.0362
2023-09-03T03:59:36.960  VLA             112.9000       97.4717   13.5000    0.06237      0.0362
2023-09-03T03:59:36.960  VLA             111.0000       96.2925   12.5000    0.06237      0.0362
2023-09-03T03:59:36.960  VLA             107.9200       94.3700   11.0000    0.06237      0.0362
2023-09-03T03:59:36.960  VLA             105.5900       94.5648    7.5000    0.06237      0.0362
2023-09-04T15:55:43.680  MeerKAT          91.5800       91.5800    1.2800        nan         nan
2023-09-05T00:42:54.720  ATA              81.0000       80.1415    3.0000    0.01251      0.0820
2023-09-05T00:42:54.720  ATA              82.0000       80.1415    8.0000    0.01251      0.0820
2023-09-06T00:36:34.560  ATA              88.0000       86.2993    3.0000    0.02291      0.0869
2023-09-06T00:36:34.560  ATA              90.0000       86.2993    8.0000    0.02291      0.0869
2023-09-06T15:14:06.720  MeerKAT          95.5700       95.5700    1.2800        nan         nan
2023-09-08T15:05:28.320  MeerKAT          86.6400       86.6400    1.2800        nan         nan
2023-09-09T00:33:15.840  ATA              81.0000       81.0000    8.0000    0.00000      0.0807
2023-09-09T00:33:15.840  ATA              81.0000       81.0000    3.0000    0.00000      0.0807
2023-09-09T03:29:39.840  VLA              92.5600       85.3582    4.7500    0.06177      0.0340
2023-09-09T03:29:39.840  VLA              93.4700       83.1540    8.5000    0.06177      0.0340
2023-09-09T03:29:39.840  VLA              92.5300       82.9566    7.5000    0.06177      0.0340
2023-09-09T03:29:39.840  VLA              98.5600       85.6181   12.5000    0.06177      0.0340
2023-09-09T03:29:39.840  VLA              93.8700       82.1904   11.0000    0.06177      0.0340
2023-09-09T03:29:39.840  VLA              98.5000       85.1601   13.5000    0.06177      0.0340
2023-09-09T07:06:31.680  ATCA             99.5000      102.2127    5.5000   -0.01845      0.0893
2023-09-09T07:06:31.680  ATCA             98.6000      102.2127    9.0000   -0.01845      0.0893
2023-09-09T14:13:12.000  ATA              83.0000       83.2305    1.5000   -0.01749      0.1218
2023-09-09T14:13:12.000  ATA              82.0000       83.2305    3.0000   -0.01749      0.1218
2023-09-10T00:24:11.520  ATA              75.0000       77.9761    5.0000   -0.02856      0.1829
2023-09-10T00:24:11.520  ATA              74.0000       77.9761    8.0000   -0.02856      0.1829
2023-09-12T23:28:27.840  ATA             106.0000       97.7613    5.0000    0.05938      0.1699
2023-09-12T23:28:27.840  ATA             109.0000       97.7613    8.0000    0.05938      0.1699
2023-09-13T01:15:27.360  ATA              85.0000       82.4699    1.5000    0.19052      0.1208
2023-09-13T01:15:27.360  ATA              97.0000       82.4699    3.0000    0.19052      0.1208
2023-09-14T02:59:42.720  VLA             105.2000       79.2556   12.5000    0.12427      0.0344
2023-09-14T02:59:42.720  VLA             106.6000       79.5459   13.5000    0.12427      0.0344
2023-09-14T02:59:42.720  VLA              93.3100       79.2795    4.7500    0.12427      0.0344
2023-09-14T02:59:42.720  VLA              95.5300       76.6871    7.5000    0.12427      0.0344
2023-09-14T02:59:42.720  VLA              97.9300       77.4004    8.5000    0.12427      0.0344
2023-09-14T02:59:42.720  VLA              98.7700       75.6028   11.0000    0.12427      0.0344
2023-09-15T23:47:11.040  VLA              97.0000       97.0000    5.2000    0.00000      0.3154
2023-09-15T23:47:11.040  VLA              97.0000       97.0000    7.5000    0.00000      0.3154
